Alpha 0 10 14 30 45 60 75 90
CL 0.0 0.1 1.34698 1.35345 1.26724 0.93103 0.38793 -0.11207
CD 0.0 0.1 0.03259 0.11302 0.38250 0.96888 1.31578 1.34483
